	SRR19509095	SRR19509096	SRR19509097	SRR19509098	SRR19509099	SRR19509100	SRR19509101	SRR19509102	SRR19509103	SRR19509104	SRR19509105	SRR19509106	SRR19509107	SRR19509108	SRR19509109	SRR19509110	SRR19509111	SRR19509112	SRR19509113	SRR19509114	SRR19509115	SRR19509116	SRR19509117	SRR19509118	SRR19509119	SRR19509120	SRR19509121	SRR19509122	SRR19509123	SRR19509124	SRR19509125	SRR19509126	SRR19509127	SRR19509128	SRR19509129	SRR19509130	SRR19509131	SRR19509132	SRR19509133	SRR19509134	SRR19509135	SRR19509136	SRR19509137	SRR19509138	SRR19509139	SRR19509140	SRR19509141	SRR19509142	SRR19509143	SRR19509144	SRR19509145	SRR19509146	SRR19509147	SRR19509148	SRR19509149	SRR19509150	SRR19509151	SRR19509152	SRR19509153	SRR19509154
ASV_0049	75	91	405	145	259	538	209	456	119	314	289	356	64	266	238	37	39	60	19	17	71	45	57	76	86	59	124	73	54	70	156	36	42	65	32	101	280	91	1499	248	36	480	0	129	173	258	165	86	0	18	16	0	69	0	24	0	0	25	139	46
ASV_0050	87	120	196	71	391	472	227	995	185	102	143	65	226	131	101	52	22	16	30	59	46	16	35	99	74	218	53	51	28	109	71	188	49	36	51	49	507	75	792	205	38	1216	0	64	54	96	66	124	0	34	24	15	58	44	53	34	27	29	298	50
ASV_0051	0	0	7	0	30	35	0	0	0	46	112	67	130	757	16	215	732	410	1172	963	689	439	141	90	146	0	278	284	251	243	280	0	50	28	60	253	0	0	38	24	0	0	0	0	0	0	25	0	135	27	0	12	367	0	64	7	27	32	0	0
ASV_0052	117	347	200	103	61	44	11	34	17	22	37	18	24	47	81	112	147	81	140	155	32	35	36	42	55	277	734	656	168	547	623	149	350	351	373	433	175	0	179	0	0	14	16	38	9	46	50	175	44	69	72	0	33	57	95	148	126	209	260	61
ASV_0053	0	21	0	0	34	35	0	0	0	45	91	79	158	759	9	194	661	387	1171	922	763	443	139	69	136	0	299	304	254	217	277	0	36	0	35	340	0	0	20	14	0	0	22	0	0	0	30	0	72	22	45	0	298	0	59	0	28	0	0	0
ASV_0054	0	40	27	0	79	18	53	198	31	433	302	236	253	234	10	49	104	22	50	25	243	241	683	1726	2229	18	97	17	71	274	194	10	5	0	0	0	19	0	0	0	0	0	0	0	0	0	8	15	11	5	11	0	22	10	79	78	12	59	19	0
ASV_0055	0	0	0	0	178	0	53	0	37	264	213	380	229	146	0	418	376	1299	588	312	206	177	679	113	1291	0	359	110	191	124	298	0	29	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0056	16	46	69	0	114	66	40	0	18	22	67	68	47	37	8	47	83	637	225	116	147	83	115	29	202	120	40	47	36	30	53	36	0	40	0	16	2431	43	249	42	14	263	0	0	37	5	39	867	0	0	7	0	26	144	119	115	108	118	408	258
ASV_0057	31	65	124	69	57	112	0	72	0	0	0	0	28	422	99	0	57	0	0	0	17	0	0	0	36	7	0	15	0	0	0	0	0	0	0	16	183	175	469	103	196	3340	350	88	1191	104	154	30	73	50	37	54	49	16	30	34	0	37	0	5
ASV_0058	190	591	190	390	323	730	172	108	120	23	0	26	0	23	274	173	111	230	103	113	176	0	0	0	0	68	144	428	143	225	135	37	112	117	60	37	108	32	87	27	32	114	6	51	0	88	74	0	0	117	67	149	24	65	162	0	137	773	221	46
ASV_0059	96	49	137	71	496	272	239	533	298	691	225	621	375	152	17	84	16	54	54	0	99	34	69	104	83	8	30	39	28	79	44	57	10	43	25	0	0	42	56	44	1059	881	0	84	0	77	102	0	48	78	35	119	9	0	19	0	0	44	3	0
ASV_0060	60	59	61	80	287	109	39	166	49	104	240	46	803	186	237	16	24	0	83	0	37	34	24	38	75	58	24	17	9	26	47	11	23	21	37	34	77	535	361	86	397	592	44	26	1810	365	48	29	6	32	58	30	19	10	18	0	12	12	55	112
ASV_0061	56	28	57	34	117	109	206	269	306	111	114	184	100	52	99	55	48	51	71	30	37	32	42	41	24	0	110	177	243	125	75	33	82	84	208	60	0	223	40	250	2982	45	39	15	0	31	109	16	262	107	135	120	12	0	0	0	0	0	13	0
ASV_0062	42	55	78	70	18	7	12	12	11	0	17	7	0	6	27	0	6	0	0	0	0	0	0	0	4	11	0	0	0	0	1	0	0	0	0	0	34	442	97	267	688	2240	20	94	2200	124	875	4	0	92	86	69	73	1	0	0	0	5	17	12
ASV_0063	838	205	1114	777	16	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	21	51	0	0	0	0	12	0	10	0	0	0	60	276	663	464	0	22	162	98	0	291	935	16	124	0	131	479	537	18	16	9	117	164	0	140
ASV_0064	111	140	351	162	197	306	325	169	80	51	92	104	22	212	341	11	17	10	0	0	41	27	51	38	106	0	19	26	26	32	84	0	0	0	0	0	53	132	1483	94	84	1083	14	231	277	111	604	9	7	15	0	18	154	0	0	0	0	0	0	0
ASV_0065	0	307	0	0	0	0	0	0	0	7	4	10	7	0	0	16	42	89	34	22	5	0	0	0	0	171	8	0	15	11	0	0	2	10	0	0	191	39	0	39	40	0	0	0	6	0	0	166	2	68	598	35	5	144	1112	185	139	3818	170	0
